Month,Min.Price,Max.Price,Model.Price,Retail.Price,ArrivalQty
1/1/2020,,,,,
1/2/2020,3000,7000,5000,9000,330
1/3/2020,2500,5500,4000,8000,623
1/4/2020,2500,5500,4000,8000,423
1/5/2020,,,,,
1/6/2020,2500,5500,4000,8000,532
1/7/2020,4000,5000,4500,7500,306
1/8/2020,3000,5500,4250,7000,384
1/9/2020,3000,5500,4200,7500,509
1/10/2020,2500,4000,3200,7500,572
1/11/2020,2000,5000,3500,7500,424
1/12/2020,,,,,
1/13/2020,3000,4000,3500,8000,381
1/14/2020,2000,4000,3000,8000,443
1/15/2020,,,,,
1/16/2020,2500,4500,3500,8000,296
1/17/2020,2500,4500,3500,8000,315
1/18/2020,2000,4500,3250,7500,563
1/19/2020,,,,,
1/20/2020,2000,5000,3500,7500,505
1/21/2020,3000,4500,3700,7500,642
1/22/2020,3000,5000,4000,7500,551
1/23/2020,2500,5000,3750,8000,569
1/24/2020,2000,4500,3200,7500,381
1/25/2020,1500,4500,3000,7500,616
1/26/2020,,,,,
1/27/2020,2500,4000,3250,8000,581
1/28/2020,2500,4000,3250,8000,605
1/29/2020,2500,3500,3000,7000,568
1/30/2020,1500,3500,2500,7000,566
1/31/2020,2000,3750,2875,7000,336
2/1/2020,2500,3500,3000,7000,378
2/2/2020,,,,,
2/3/2020,,,,,
2/4/2020,1500,3000,2250,7000,704
2/5/2020,1500,3000,2250,7000,614
2/6/2020,1500,2500,2000,6000,521
2/7/2020,1000,2500,1750,6000,402
2/8/2020,,,,,
2/9/2020,,,,,
2/10/2020,1000,2500,1750,7000,505
2/11/2020,1000,2500,1750,7000,514
2/12/2020,1700,2700,2200,6000,434
2/13/2020,1500,2800,2150,6000,507
2/14/2020,1500,2700,2100,4000,651
2/15/2020,1750,2700,2225,5000,506
2/16/2020,,,,,
2/17/2020,1600,2700,2150,5000,486
2/18/2020,1500,2700,2100,5000,574
2/19/2020,1500,2800,2400,5000,524
2/20/2020,,,,,
2/21/2020,2000,2700,2350,5000,517
2/22/2020,,,,,
2/23/2020,,,,,
2/24/2020,1800,2700,2250,4000,738
2/25/2020,1500,2500,2000,4000,591
2/26/2020,1500,2500,2000,4000,652
2/27/2020,1800,2400,2100,4000,522
2/28/2020,1800,2500,2150,4000,660
2/29/2020,1500,2500,2000,4000,391
3/1/2020,,,,,
3/2/2020,1300,2500,1900,4000,764
3/3/2020,1500,2300,1900,4000,812
3/4/2020,1500,2000,1700,4000,619
3/5/2020,1500,2200,1850,4000,533
3/6/2020,1000,2200,1500,4000,589
